rank,platform,asin,title,brand,seller,price_usd,price_bucket_2usd,rating,reviews,monthly_sales,monthly_sales_share_pct,monthly_revenue_usd,monthly_revenue_share_pct,height_group,price_band_old,tags
11,Amazon US,B084YZWS2C,"YUNIQUE Cat Tree with Cat Condo and Big Hammock, Grey",YUNIQUE,YUNWEI PET STORE,39.99,$38-$39.99,4.2,7575.0,3402.0,2.6110381985217934,136045.98,1.992423820708367,height not shown,$30-49,"condo,hammock"
12,Amazon US,B0DT3ZYNVV,SHA CERLIN 81in Multi-Level Tall Cat Tree Tower for Indoor Kitties/Larger Cat Condo Furniture with Hammock/Cozy Pussycat Perches/Sisal Scratching Posts/Pet House/Wide Base/Grey,SHA CERLIN,Amazon,99.99,$98-$99.99,4.6,639.0,3372.0,2.5880131703161338,337166.28,4.93787561978404,75in+ oversized,$80-119,"large-cat,multi-level,condo,hammock"
13,Amazon US,B0DRXZ3664,"YOUPET Cat Tree with Cat Scratching Post for Indoor Cats, Cat Tower with Scratching Board and Playful Toy Balls, Cat Tree Tower with Cozy Hammock,Grey",YOUPETSER,YOUPET,26.99,$26-$27.99,4.3,3198.0,3167.0,2.43067547757746,85477.33,1.2518346254887496,height not shown,$0-29,hammock
14,Amazon US,B07GL45JHQ,"Amazon Basics Sturdy Cat Condo Tower with Hammock Bed and Scratching Posts, Interactive Hanging Ball Toy for Indoor Cats, 15.8' x 15.8' x 19.7', Gray",Amazon Basics,Amazon,25.19,$24-$25.99,4.7,54815.0,2937.0,2.25415026133407,73983.03,1.0834980298585943,<36in small/kitten,$0-29,"condo,hammock"
15,Amazon US,B09576SLY9,"3-Tier Cat Tree with 2 Hammocks & Condo, Grey | Multi-Level Indoor Cat Tower with Natural Sisal Scratching Posts, Rope Ladder, Replaceable Hanging Balls | Sturdy Cat Furniture for Kittens & Adult Cats",Smouatou,XIN DEPARTMENT,40.99,$40-$41.99,4.2,9420.0,2712.0,2.0814625497916235,111164.88,1.6280345434549932,height not shown,$30-49,"multi-level,condo,hammock,kitten"
16,Amazon US,B0FJRL5WT6,"Cat Tree, Cloud Cat Tower with Soft Bed, Cat Scratching Post & Pad with Larger Perch for Window Viewing, Small Cat Tree with Cute Toys, Bonus Catnip",Happi N Pets,Happi N Pets,25.99,$24-$25.99,4.4,312.0,2477.0,1.9010998288472902,64377.23,0.942818939326405,height not shown,$0-29,large-cat
17,Amazon US,B08VGZVXJR,FISH&NAP Cute Cat Tree Kitten Cat Tower for Indoor Cat Condo Sisal Scratching Posts with Jump Platform Cat Furniture Activity Center Play House Beige,FISH&NAP,FISH&NAP,39.99,$38-$39.99,4.5,3860.0,2307.0,1.7706246690152194,92256.93,1.3511233845897126,height not shown,$30-49,"condo,kitten"
18,Amazon US,B0D8J6HW21,"28' Cat Tree, Large Bed for Big Cats, Small Cat Tower with Soft Perch for Window Viewing, Stable Cat Tree Tower, Cat Scratching Post with Hammock, Removable Cover-Gray",Happi N Pets,Happi N Pets,39.99,$38-$39.99,4.6,1280.0,2269.0,1.741459633288051,90737.31,1.3288682096376496,<36in small/kitten,$30-49,"large-cat,hammock"
19,Amazon US,B08MPWZDHS,"Feandrea Cat Tree, 45.3-Inch Cat Tower, Plush Condo with Scratching Post, Ramp, Perch, Spacious Cave, for Small Space, Light Gray UPCT141W01",Feandrea,Amazon,39.09,$38-$39.99,4.4,3940.0,1816.0,1.3937817073825916,70987.44,1.0396269439722214,height not shown,$30-49,condo
20,Amazon US,B0CY2VH9K2,"Cat Tree 32 Inches Small Cat Tree for Large Cats Adult Cat Tower with Scratching Post,15.7”Large Hammock and Self Groomer, and Removable Top Perch and Wide Condo for Indoor Cats-Beige",pawfessor,We Love Unity Commerce,42.99,$42-$43.99,4.5,833.0,1602.0,1.22953650618222,68869.98,1.0086162684388675,<36in small/kitten,$30-49,"large-cat,condo,hammock"
21,Amazon US,B0DT5R86C4,"DUMOS 54-inch Indoor Cat Tree Tower –Multi-Level Pet House for Large Cats with 2 Condos, Scratching Posts, Round Platform, Small Ladder, and Toys – Perfect for Cats of All Ages, Dark Grey",DUMOS,Amazon,37.92,$36-$37.99,4.5,1853.0,1514.0,1.1619964234456188,57410.88,0.8407951846855715,height not shown,$30-49,"large-cat,multi-level,condo"
22,Amazon US,B0DGQH8KTF,"Globlazer Cat Tree Tower for Indoor Cats, 50-inch Adult Cat Tree House for Large Adult Cats with Steps, Scratching Post, 2 Cat Caves, Dangling Toys, FC50, Light Grey",Globlazer,Globlazer,69.99,$68-$69.99,4.4,1212.0,1460.0,1.1205513726754315,102185.4,1.4965280494771895,height not shown,$50-79,large-cat
23,Amazon US,B0D2VVHS5F,"Heybly Cat Tree, 71-Inch-Tall Tower for Indoor Cats with 2 Perches, 2 Big Condos, 2 Hammocks, Basket, Scratching Pad, Large Cat Furniture and Condo, Smoky Gray HCT034G",Heybly,Heybly,99.99,$98-$99.99,4.6,2891.0,1441.0,1.1059688548118471,144085.59,2.1101657082173193,height not shown,$80-119,"large-cat,condo,hammock"
24,Amazon US,B0CM8MC8YZ,SHA CERLIN 65in Larger Cat Tree Tower Condo for Indoor Kitties/Multi-Level Furniture Activity Center with Wide Base/Cozy Plush Cat Perches/Baskets/Sisal Scratching Posts and Hammock/Beige,SHA CERLIN,Amazon,89.98,$88-$89.99,4.5,2511.0,1416.0,1.0867813313071308,127411.68,1.8659725650730128,65-74in large/multicat,$80-119,"large-cat,multi-level,condo,hammock"
25,Amazon US,B0CCDHSGDH,"PAWZ Road Cat Tree, Cactus Floor to Ceiling Cat Tower with Adjustable Height(95-108 Inches), 5 Level Cat Climbing Tower with Cozy Hammock, Platforms and Dangling Balls for Indoor Cats",PAWZ Road,Sweet Pet,49.99,$48-$49.99,4.3,1639.0,1385.0,1.0629888021612826,69236.15,1.0139789100283418,75in+ oversized,$30-49,"hammock,novelty-cactus"
26,Amazon US,B0BBGHDPX9,"BestPet | 54' Cat Tree Tower | Dark Gray | Sturdy, Easy to Assemble, Multi-Level Activity Center with Sisal Scratching Posts, Condos, Perches, Hanging Cat Toys, Observation Decks & Ladder",BestPet,Cavalier Store,18.99,$18-$19.99,4.2,22255.0,1349.0,1.0353587683144911,25617.51,0.3751741664930841,50-64in mainstream,$0-29,"multi-level,condo"
27,Amazon US,B0795T91YP,"Feandrea Cat Tree, 33.1-Inch Cat Tower, Plush Condo for Large Cats up to 16 lb, Large Perch, 2 Caves, Scratching Post, Light Gray UPCT61W",Feandrea,Amazon,44.99,$44-$45.99,4.6,15199.0,1212.0,0.9302111395086459,54527.88,0.798573004543959,height not shown,$30-49,"large-cat,condo"
28,Amazon US,B0CH9LC7SL,"Hey-brother Cat Tree with Large Hammock, Multi-Level Cat Tower for Indoor Cats, Cat Condo with Sisal-Covered Scratching Posts and Top Perch, Light Gray MPJ050W",Hey-brother,Hey brother,59.99,$58-$59.99,4.6,1060.0,1178.0,0.9041161075422317,70668.22,1.0349518956389554,height not shown,$50-79,"large-cat,multi-level,condo,hammock"
29,Amazon US,B0DNF1W593,"Cat Tree, Cat Tower for Indoor Cats, 43.3 inch Cat Tree Tower with Sturdy Steel Tube, Hammock, Cat Condo for Small Cats and Kittens, Scratching Post, Smoky Gray GCT004SG",Gitelsnour,Gitelsnour Home,35.99,$34-$35.99,4.0,916.0,1154.0,0.8856960849777041,41532.46,0.6082521706015673,36-49in mid-small,$30-49,"condo,hammock,kitten"
30,Amazon US,B0DK19KNC2,"Globlazer Corner Cat Tree, 51in Curved Series Modern Cat Tower for Indoor Cats with Hammock, 7 Sisal Scratching Posts, Large Fan-Shaped Platform for Large Cats, Cat Condo & Hanging Basket, C51, Beige​",Globlazer,Globlazer,83.99,$82-$83.99,4.5,761.0,1109.0,0.8511585426692148,93144.91,1.3641280503969098,50-64in mainstream,$80-119,"large-cat,condo,hammock,modern"
31,Amazon US,B0CD77SZR9,"Aechonow Cat Tree for Large Cats, 14Inch Cat Tree Tower with Scratching Post, 20 x16.5Inch Perch Bed for Adult Senior Cats, Removable Washable Mat, Dark Gray",Aechonow,Aechonow Pets,33.99,$32-$33.99,4.5,2297.0,1109.0,0.8511585426692148,37694.91,0.5520503921060955,<36in small/kitten,$30-49,"large-cat,senior-cat"
32,Amazon US,B0F5PR9V2X,"Feandrea Cat Tree, Small Cat Tower for Indoor Cats, Plush Cat Caves with Perch, Scratching Posts, for Small Spaces, Kittens, Light Gray UPCT005G01",Feandrea,SONGMICS HOME US,21.99,$20-$21.99,4.5,197.0,1103.0,0.8465535370280828,24254.97,0.35521946329150494,height not shown,$0-29,kitten
33,Amazon US,B06X6J3L65,"Amazon Basics Cat Tree Tower - Multi-Level Climbing Activity Center for Indoor Cats & Kittens with Scratching Posts, Platform, Jute Rope, Large (45.9'H), Beige",Amazon Basics,Amazon,67.71,$66-$67.99,4.5,19477.0,1089.0,0.8358085238654417,73736.19,1.07988300282212,36-49in mid-small,$50-79,"large-cat,multi-level,kitten"
34,Amazon US,B0DBHJ2H4Q,MIAO PAW Rainbow Cute Cat Tree for Indoor Cat Tower with Scratching Post Modern Activity House Hammock Hanging Ball Condo with Board,MIAO PAW,MIAO PAW,40.99,$40-$41.99,4.3,587.0,1056.0,0.8104809928392163,43285.44,0.6339249549736257,height not shown,$30-49,"condo,hammock,modern"
35,Amazon US,B0B42CLKK6,"PEQULTI Cat Tree Tower for Indoor Cats with Private Cozy Cat Condo, Natural Sisal Scratching Posts and Plush Pom-pom for Small Cats",PEQULTI,Siyupet,29.99,$28-$29.99,4.5,3758.0,1038.0,0.7966659759158204,31129.62,0.45590025091222536,height not shown,$0-29,condo
36,Amazon US,B0F74JQD86,"SYANDLVY Small Leopard Print Cat Tree for Indoor Cats, Cat Tower with Scratching Post, Modern Cat House with Padded Perch, Kittens Condo with Cradle, Cat Cave",SYANDLVY,SYANDLVY,42.74,$42-$43.99,4.5,672.0,1014.0,0.7782459533512929,43338.36,0.6346999802157671,height not shown,$30-49,"condo,modern,kitten"
37,Amazon US,B0CSXWDXP1,"Taoqimiao Cat Tree,38.2-Inch Cat Tower for Indoor Cats,Suitable for Kittens with Luxurious cat condo with Adjustable Baskets and Luxurious Perch Light Gray MS029SW",Taoqimiao,AICHONGTECH,39.99,$38-$39.99,4.3,1553.0,1008.0,0.773640947710161,40309.92,0.5903477987284049,height not shown,$30-49,"condo,kitten"
38,Amazon US,B0GXB8GVQJ,"SONGMICS HOME Cat Tree for Indoor Cats, Multi-Level Cat Tower with Sisal Scratching Posts, Hammock and Condo, Light Gray",SONGMICS HOME,Amazon,52.99,$52-$53.99,4.1,24.0,1001.0,0.7682684411288404,53042.99,0.7768264582135811,height not shown,$50-79,"multi-level,condo,hammock"
39,Amazon US,B0CKZ8F32K,"Hey-brother Cat Tree, 53 inch Cat Tower for Indoor Cats, Cat House with Padded Platform Bed, Toy Balls, Large Cozy Condo, Hammocks and Sisal Scratching Posts, Smoky Gray MPJ019-SG",Hey-brother,Hey brother,56.99,$56-$57.99,4.4,2609.0,983.0,0.7544534242054446,56021.17,0.8204425707540417,50-64in mainstream,$50-79,"large-cat,condo,hammock"
40,Amazon US,B09YLP5F38,"Feandrea Cat Tree, 66.1-Inch Large Cat Tower, Multi-Level Plush Condo with 13 Scratching Posts, 2 Perches, 2 Caves, Basket, Hammock, Pompoms, Light Gray UPCT165W01",Feandrea,Amazon,58.42,$58-$59.99,4.6,5219.0,979.0,0.7513834204446901,57193.18,0.8376069194698833,height not shown,$50-79,"large-cat,multi-level,condo,hammock"
41,Amazon US,B0FDQ8CMQG,"Heybly Heavy Duty Cat Tree, Tower for Indoor Cats Large Adult, Tall Cat Condo House with Extra-Large Baseboard, Multi-Level Plush Furniture with Scratching Posts, Hammock,Toy Balls,Light Gray HCT026W",Heybly,Heybly,59.99,$58-$59.99,4.6,646.0,970.0,0.7444759119829921,58190.3,0.852209964999819,height not shown,$50-79,"large-cat,heavy-duty,multi-level,condo"
42,Amazon US,B0CNCHGMCX,"Globlazer Heavy Duty Cat Trees for Large Cats, Sturdy 72in Maine Coon Cat Tree for Large Cats 20 lbs+ Heavy Duty Cat Tower for Adult Biggest Cat with 6 Scratching Posts, Hammock, S72, Dark Gray",Globlazer,Globlazer,99.99,$98-$99.99,4.6,1669.0,920.0,0.7061008649735596,91990.8,1.34722585118663,65-74in large/multicat,$80-119,"large-cat,heavy-duty,hammock"
43,Amazon US,B0CCVJCJ3L,"PETEPELA Cactus Cat Tree for Indoor Cats, 32’’ Small Cat Tower Cat Condo with Sisal Scratching Ramp, Cozy Hammock and Removable Top Bed Perch for Kittens, Green",PETEPELA,hzhwpet,37.99,$36-$37.99,4.4,939.0,873.0,0.670028320784693,33165.27,0.4857128006885949,height not shown,$30-49,"condo,hammock,novelty-cactus,kitten"
44,Amazon US,B0DNPS3YTZ,"Globlazer Heavy Duty Cat Tree, 74in Sturdy Cat Tower for Large Cats Adult, Big Cat Tree with 7 Sisal Scratching Posts, 2 Padded Condos, 2 Dual-Ear Hanging Baskets, Enlarged Top Perch, S74, Dark Grey",Globlazer,Globlazer,109.99,$108-$109.99,4.7,557.0,835.0,0.6408632850575242,91841.65,1.345041516060677,65-74in large/multicat,$80-119,"large-cat,heavy-duty,condo"
45,Amazon US,B0DNYBXBVH,"58.5inch Large Cat Tree Tower Condo for Indoor Cats, Soft Plush Multi-Level Climbing Tree Cat House with 1 360° Rotating Cat Cave, Scratching Post, More Entrance/Exit, Sisal Rope, Grey Black",TSCOMON,TSCOMON store,44.3,$44-$45.99,4.3,2321.0,826.0,0.6339557765958262,36591.8,0.5358950993083105,50-64in mainstream,$30-49,"large-cat,multi-level,condo"
46,Amazon US,B0CWMVWWDH,"PAWZ Road Flower Cat Tree, 72 Inches Large Cat Tower with Steel Frame Hammock and 7 Scratching Posts, Tall Cat Tree with 2 Condos and Perches for Large Indoor Cats - Pink",PAWZ Road,Sweet  Pet,89.99,$88-$89.99,4.6,2228.0,822.0,0.6308857728350717,73971.78,1.0833332710911323,65-74in large/multicat,$80-119,"large-cat,condo,hammock,novelty-flower"
47,Amazon US,B0FVF3X7YD,"Heybly Cat Tree, 76-Inch Tall Heavy Duty Cat Tower for Big Cats with Extra Wide Baseboard, Multi-Level Large Cat Furniture with 2 Condos & 2 Hammocks, 10 Scratching Posts, Smoky Gray HCT039G",Heybly,Heybly,102.59,$102-$103.99,4.5,229.0,818.0,0.6278157690743171,83918.62,1.229006968739345,height not shown,$80-119,"large-cat,heavy-duty,multi-level,condo"
48,Amazon US,B0FX3K3K62,"Hey-brother Wooden Cat Tree, 69.7 inch Cats Furniture Tower with Large Platforms, Hammocks, Spacious Condo, Full Sisal Scratching Posts, Ladder, Brush, Water Proof Surface, Rustic Brown MPJ121SR",Hey-brother,Hey brother,139.99,$138-$139.99,4.1,80.0,809.0,0.6209082606126192,113251.91,1.6585995648288918,65-74in large/multicat,$120+,"large-cat,condo,hammock,wood/modern"
49,Amazon US,B0BZ7L34Q8,"MUTTROS Cat Tree for Large Cats Adult with Metal Plush Big Hammock, 56.3' Cat Tower with 2 Door Condo House, 6-Tier Cat Shelves with Scratching Posts and Large Top Perch, Beige",MUTTROS,CHPET INC,65.99,$64-$65.99,4.5,1703.0,803.0,0.6163032549714873,52989.97,0.7760499684490622,50-64in mainstream,$50-79,"large-cat,condo,hammock"
50,Amazon US,B0DN25RNPK,"Cat Tree Tower for Large Cats Cat Scratching Post with 20 x15.7”Wide Top Bed, Self Groomer, Thick Scratch Post [Dia=4.5”] and Danging Ball Great for Indoor Cats-Large Grey",pawfessor,We Love Unity Commerce,39.99,$38-$39.99,4.7,672.0,801.0,0.61476825309111,32031.99,0.46911566148953615,height not shown,$30-49,large-cat
51,Amazon US,B0CQTC6Y34,"Globlazer Cat Tree Tower with Scratching Post for Indoor Cats, 53inch Tall Plush Multi-Level Cat Climbing Tower Condo House with Large Hammock, Spacious Cat Cave, Padded Top Perch Bed, F53, Light Gray",Globlazer,Globlazer,79.99,$78-$79.99,4.5,467.0,792.0,0.6078607446294122,63352.08,0.9278053881740725,50-64in mainstream,$50-79,"large-cat,multi-level,condo,hammock"
52,Amazon US,B0B938L397,"Feandrea Cat Tree with Litter Box Enclosure, 59-Inch Modern Cat Tower, 2-in-1 Condo with Scratching Posts, Washable Removable Cushion, Greige UPCT113G01",Feandrea,Amazon,75.99,$74-$75.99,4.6,1610.0,761.0,0.584068215483564,57828.39,0.8469097120636238,height not shown,$50-79,"condo,modern"
53,Amazon US,B08KFZSBYC,"MWPO 63.8 inches Multi-Level Cat Tree for Large Cats with Sisal-Covered Scratching Posts, Padded Platform, Hammock and Condo,Stable Cat Tower Cat Condo Pet Play House-Beige",MWPO,Mwpo,69.99,$68-$69.99,4.6,5066.0,758.0,0.581765712662998,50399.42,0.7381107840002745,50-64in mainstream,$50-79,"large-cat,multi-level,condo,hammock"
54,Amazon US,B0FFNC5M2D,"SYANDLVY 27IN Cat Tree for Indoor Cats Large Adult, Modern Activity Tower with Scratching Posts, Condo with Plush Perch, Climbing Stand with Spring Ball for Play, Grey",SYANDLVY,SYANDLVY,37.99,$36-$37.99,4.7,384.0,754.0,0.5786957089022434,28644.46,0.4195045265970225,<36in small/kitten,$30-49,"large-cat,condo,modern"
55,Amazon US,B0CV7DHG98,"Globlazer Big Cat Tower for Indoor Cats, 80inch Cat Tower for Multiple Adult Cats XXL Cat Tree with Scratching Post, Hammock, 3 Perches, 2 Condos, 2 Hanging Basket, F80, Dark Grey",Globlazer,Globlazer,119.99,$118-$119.99,4.4,1029.0,749.0,0.5748582042013001,89872.51,1.3162030201175434,75in+ oversized,$80-119,"multi-level,condo,hammock"
56,Amazon US,B0DZD25G1P,"Hey-brother Cat Tree Tower, Scratching Posts with a Extended Part, Wide Platforms, Cozy Condos, Hammocks, Sisal Columns and Ball for Indoor Cats, 70.1 Inches, Light Gray MPJ038W",Hey-brother,Hey brother,99.99,$98-$99.99,4.5,354.0,728.0,0.5587406844573385,72792.72,1.066065673547681,65-74in large/multicat,$80-119,"condo,hammock"
57,Amazon US,B0F8J7487Z,"Hey-brother Cat Tree Tower, Scratching Posts with Extra Large Platform, Specious Condo, 2 Cozy Hammocks, Self-Grooming Brush for Indoor Adult Cats, Maine Coon 51.1 inches, Light Gray MPJ070W",Hey-brother,Hey brother,79.99,$78-$79.99,4.7,261.0,698.0,0.5357156562516789,55833.02,0.8176870719008871,50-64in mainstream,$50-79,"large-cat,condo,hammock"
58,Amazon US,B0CG5TML94,"PAWZ Road Cat Tree, 30 Inches Cat Tower with Dual Condos for Indoor Cats, Plush Cat House with Padded Perch, Scratching Ramp and Posts and Replaceable Balls-Beige",PAWZ Road,Sweet  Pet,39.99,$38-$39.99,4.5,5123.0,680.0,0.5219006393282831,27193.2,0.398250499142178,<36in small/kitten,$30-49,condo
59,Amazon US,B098R2H39J,"SYANDLVY Small Cat Tree for Indoor Cats, Cat Tower with Scratching Post, Modern Activity House for Large Cats, Condo with Board, Kittens Cave (Light Grey)",SYANDLVY,SYANDLVY,30.39,$30-$31.99,4.4,3857.0,667.0,0.5119231271058307,20270.13,0.2968605897863008,height not shown,$30-49,"large-cat,condo,modern,kitten"
60,Amazon US,B0FR44W8GN,"Cat Tree for Indoor Cats, Cat Tower with Scratching Post for Small Cats and Kittens, Cat House with Removable Top Platform and Fluffy Balls, Hanging Cat Basket, Light Gray GCT006SW",Gitelsnour,Gitelsnour Home,39.99,$38-$39.99,4.2,681.0,655.0,0.5027131158235669,26193.45,0.38360893667371554,height not shown,$30-49,kitten
61,Amazon US,B0G8Z7KN7H,"32In Cute Cat Tower for Indoor Cats with Cat Condo, Plush Platform, Hammock, Sisal Scratching Posts, Dangling Ball, Tall Cat Tree Tower with Self-Grooming Brush (Beige)",Purrlato,GLORIEROO,39.99,$38-$39.99,4.2,112.0,647.0,0.49657310830205764,25873.53,0.3789236366838076,<36in small/kitten,$30-49,"condo,hammock"
62,Amazon US,B0FJWY6BT5,"Globlazer Extra Large Platform Cat Tree, 65in Tall Sturdy Cat Tree for Indoor Cats Large Adult, Big Cat Tower for Big Cats with 3 Enlarged Perches, 6 Scratching Posts, Cat Condo, Hammock, S65, Beige",Globlazer,Globlazer,99.99,$98-$99.99,4.5,261.0,635.0,0.48736309701979386,63493.65,0.9298787125038153,65-74in large/multicat,$80-119,"large-cat,condo,hammock"
63,Amazon US,B078HB646M,"Feandrea Cat Tree, 55.8-Inch Cat Tower, Multi-Level Plush Condo with 11 Scratching Posts, 2 Perches, Hammock, Cave, Light Gray UPCT15W",Feandrea,Amazon,49.99,$48-$49.99,4.6,8819.0,616.0,0.4727805791562094,30793.84,0.4509826776732553,height not shown,$30-49,"multi-level,condo,hammock"
64,Amazon US,B0CRDJSKTK,"Taoqimiao Cactus Cat Tree, 71-Inch Cat Tower for Indoor Cats Large Adult, Multi-Level Large Cat Condo, 8 Sisal Scratching Posts, Metal Frame Cozy Hammock, Scratch Board, 2 Top Perches, MSC026L",Taoqimiao,AICHONGTECH,109.99,$108-$109.99,4.5,1407.0,593.0,0.45512805753187047,65224.07,0.9552211006275229,height not shown,$80-119,"large-cat,multi-level,condo,hammock"
65,Amazon US,B0C9LW8DTH,"Small Cat Tree for Indoor Cats, Cat Tower with Scratching Post and Board, Cat House with Perch for Kitten, Stable Condo and Stand (Light Grey)",SIYIPURR,ZZSY24,31.99,$30-$31.99,4.4,438.0,593.0,0.45512805753187047,18970.07,0.27782092016614657,height not shown,$30-49,"condo,kitten"
66,Amazon US,B09HXCSVQX,SHA CERLIN 68 Inches Multi-Level Large Cat Tree for Large Kitties/Big Cat Tower with Condo/Cozy Plush ‌Pussycat Perches/Sisal Scratching Posts and Hammocks/Activity Center/Beige,SHA CERLIN,Amazon,89.98,$88-$89.99,4.4,2781.0,590.0,0.45282555471130453,53088.2,0.777488568780422,65-74in large/multicat,$80-119,"large-cat,multi-level,condo,hammock"
67,Amazon US,B0G1LRCB68,"Heybly Cat Tree, 25.6-inch Cat Tower with Spacious Top Perch for Large Cats, Stair-Style Cat House Furniture with Dual-Layer Condos, Sisal Scratching Posts, Cozy Basket & Pompom, Light Gray HCT204SW",Heybly,Heybly,49.99,$48-$49.99,4.3,339.0,579.0,0.4443830443692293,28944.21,0.42389443242340064,height not shown,$30-49,"large-cat,condo"
68,Amazon US,B0F52KZMYW,Cat Tree Tower with Clear Instructions for Kittens Indoor Playground Green Palm Leaves Scratching Post Hammock Condo Furniture 37 Inch,Woochpet,Woochpet,39.99,$38-$39.99,4.6,144.0,575.0,0.44131304060847476,22994.25,0.3367559367746358,36-49in mid-small,$30-49,"condo,hammock,kitten"
69,Amazon US,B0FVXTVRBK,"Globlazer Heavy Duty Cat Tree 78 inch Sturdy Cat Tower for 20lbs Large Adult Cats, Symmetrical Aesthetic Big Cat Tree with Extra Large Platform, 2 Scratching Boards, Z78, Beige",Globlazer,Globlazer,116.99,$116-$117.99,4.7,98.0,552.0,0.4236605189841358,64578.48,0.9457662906110041,75in+ oversized,$80-119,"large-cat,heavy-duty"
70,Amazon US,B0D2DD5K6P,"Globlazer Cat Tower for Indoor Cats, Heavy Duty Cat Trees for Large Cats Adult Big Cats Maine Coon Cat Tree Tower with Scratching Post, Extra Large Top Perch, Cat Condos, F61, Light Grey, 61inch",Globlazer,Globlazer,99.99,$98-$99.99,4.6,738.0,544.0,0.41752051146262653,54394.56,0.7966205033103549,50-64in mainstream,$80-119,"large-cat,heavy-duty,condo"
