rank,platform,asin,title,brand,seller,price_usd,price_bucket_2usd,rating,reviews,monthly_sales,monthly_sales_share_pct,monthly_revenue_usd,monthly_revenue_share_pct,height_group,price_band_old,tags
31,Amazon US,B0CD77SZR9,"Aechonow Cat Tree for Large Cats, 14Inch Cat Tree Tower with Scratching Post, 20 x16.5Inch Perch Bed for Adult Senior Cats, Removable Washable Mat, Dark Gray",Aechonow,Aechonow Pets,33.99,$32-$33.99,4.5,2297,1109,0.8452,37694.91,0.5482,<36in small/kitten,$30-49,"large-cat,senior-cat"
32,Amazon US,B0F5PR9V2X,"Feandrea Cat Tree, Small Cat Tower for Indoor Cats, Plush Cat Caves with Perch, Scratching Posts, for Small Spaces, Kittens, Light Gray UPCT005G01",Feandrea,SONGMICS HOME US,21.99,$20-$21.99,4.5,197,1103,0.8406,24254.97,0.3528,height not shown,$0-29,kitten
33,Amazon US,B06X6J3L65,"Amazon Basics Cat Tree Tower - Multi-Level Climbing Activity Center for Indoor Cats & Kittens with Scratching Posts, Platform, Jute Rope, Large (45.9'H), Beige",Amazon Basics,Amazon,67.71,$66-$67.99,4.5,19477,1089,0.83,73736.19,1.0724,36-49in mid-small,$50-79,"large-cat,multi-level,kitten"
34,Amazon US,B0DBHJ2H4Q,MIAO PAW Rainbow Cute Cat Tree for Indoor Cat Tower with Scratching Post Modern Activity House Hammock Hanging Ball Condo with Board,MIAO PAW,MIAO PAW,40.99,$40-$41.99,4.3,587,1056,0.8048,43285.44,0.6295,height not shown,$30-49,"condo,hammock,modern"
35,Amazon US,B0B42CLKK6,"PEQULTI Cat Tree Tower for Indoor Cats with Private Cozy Cat Condo, Natural Sisal Scratching Posts and Plush Pom-pom for Small Cats",PEQULTI,Siyupet,29.99,$28-$29.99,4.5,3758,1038,0.7911,31129.62,0.4527,height not shown,$0-29,condo
36,Amazon US,B0F74JQD86,"SYANDLVY Small Leopard Print Cat Tree for Indoor Cats, Cat Tower with Scratching Post, Modern Cat House with Padded Perch, Kittens Condo with Cradle, Cat Cave",SYANDLVY,SYANDLVY,42.74,$42-$43.99,4.5,672,1014,0.7728,43338.36,0.6303,height not shown,$30-49,"condo,modern,kitten"
37,Amazon US,B0CSXWDXP1,"Taoqimiao Cat Tree,38.2-Inch Cat Tower for Indoor Cats,Suitable for Kittens with Luxurious cat condo with Adjustable Baskets and Luxurious Perch Light Gray MS029SW",Taoqimiao,AICHONGTECH,39.99,$38-$39.99,4.3,1553,1008,0.7682,40309.92,0.5863,height not shown,$30-49,"condo,kitten"
38,Amazon US,B0GXB8GVQJ,"SONGMICS HOME Cat Tree for Indoor Cats, Multi-Level Cat Tower with Sisal Scratching Posts, Hammock and Condo, Light Gray",SONGMICS HOME,Amazon,52.99,$52-$53.99,4.1,24,1001,0.7629,53042.99,0.7714,height not shown,$50-79,"multi-level,condo,hammock"
39,Amazon US,B0CKZ8F32K,"Hey-brother Cat Tree, 53 inch Cat Tower for Indoor Cats, Cat House with Padded Platform Bed, Toy Balls, Large Cozy Condo, Hammocks and Sisal Scratching Posts, Smoky Gray MPJ019-SG",Hey-brother,Hey brother,56.99,$56-$57.99,4.4,2609,983,0.7492,56021.17,0.8148,50-64in mainstream,$50-79,"large-cat,condo,hammock"
40,Amazon US,B09YLP5F38,"Feandrea Cat Tree, 66.1-Inch Large Cat Tower, Multi-Level Plush Condo with 13 Scratching Posts, 2 Perches, 2 Caves, Basket, Hammock, Pompoms, Light Gray UPCT165W01",Feandrea,Amazon,58.42,$58-$59.99,4.6,5219,979,0.7461,57193.18,0.8318,height not shown,$50-79,"large-cat,multi-level,condo,hammock"
41,Amazon US,B0FDQ8CMQG,"Heybly Heavy Duty Cat Tree, Tower for Indoor Cats Large Adult, Tall Cat Condo House with Extra-Large Baseboard, Multi-Level Plush Furniture with Scratching Posts, Hammock,Toy Balls,Light Gray HCT026W",Heybly,Heybly,59.99,$58-$59.99,4.6,646,970,0.7393,58190.3,0.8463,height not shown,$50-79,"large-cat,heavy-duty,multi-level,condo"
42,Amazon US,B0CNCHGMCX,"Globlazer Heavy Duty Cat Trees for Large Cats, Sturdy 72in Maine Coon Cat Tree for Large Cats 20 lbs+ Heavy Duty Cat Tower for Adult Biggest Cat with 6 Scratching Posts, Hammock, S72, Dark Gray",Globlazer,Globlazer,99.99,$98-$99.99,4.6,1669,920,0.7012,91990.8,1.3379,65-74in large/multicat,$80-119,"large-cat,heavy-duty,hammock"
43,Amazon US,B0CCVJCJ3L,"PETEPELA Cactus Cat Tree for Indoor Cats, 32’’ Small Cat Tower Cat Condo with Sisal Scratching Ramp, Cozy Hammock and Removable Top Bed Perch for Kittens, Green",PETEPELA,hzhwpet,37.99,$36-$37.99,4.4,939,873,0.6653,33165.27,0.4823,height not shown,$30-49,"condo,hammock,novelty-cactus,kitten"
44,Amazon US,B0DNPS3YTZ,"Globlazer Heavy Duty Cat Tree, 74in Sturdy Cat Tower for Large Cats Adult, Big Cat Tree with 7 Sisal Scratching Posts, 2 Padded Condos, 2 Dual-Ear Hanging Baskets, Enlarged Top Perch, S74, Dark Grey",Globlazer,Globlazer,109.99,$108-$109.99,4.7,557,835,0.6364,91841.65,1.3357,65-74in large/multicat,$80-119,"large-cat,heavy-duty,condo"
45,Amazon US,B0DNYBXBVH,"58.5inch Large Cat Tree Tower Condo for Indoor Cats, Soft Plush Multi-Level Climbing Tree Cat House with 1 360° Rotating Cat Cave, Scratching Post, More Entrance/Exit, Sisal Rope, Grey Black",TSCOMON,TSCOMON store,44.3,$44-$45.99,4.3,2321,826,0.6295,36591.8,0.5322,50-64in mainstream,$30-49,"large-cat,multi-level,condo"
46,Amazon US,B0CWMVWWDH,"PAWZ Road Flower Cat Tree, 72 Inches Large Cat Tower with Steel Frame Hammock and 7 Scratching Posts, Tall Cat Tree with 2 Condos and Perches for Large Indoor Cats - Pink",PAWZ Road,Sweet  Pet,89.99,$88-$89.99,4.6,2228,822,0.6265,73971.78,1.0758,65-74in large/multicat,$80-119,"large-cat,condo,hammock,novelty-flower"
47,Amazon US,B0FVF3X7YD,"Heybly Cat Tree, 76-Inch Tall Heavy Duty Cat Tower for Big Cats with Extra Wide Baseboard, Multi-Level Large Cat Furniture with 2 Condos & 2 Hammocks, 10 Scratching Posts, Smoky Gray HCT039G",Heybly,Heybly,102.59,$102-$103.99,4.5,229,818,0.6234,83918.62,1.2205,height not shown,$80-119,"large-cat,heavy-duty,multi-level,condo"
48,Amazon US,B0FX3K3K62,"Hey-brother Wooden Cat Tree, 69.7 inch Cats Furniture Tower with Large Platforms, Hammocks, Spacious Condo, Full Sisal Scratching Posts, Ladder, Brush, Water Proof Surface, Rustic Brown MPJ121SR",Hey-brother,Hey brother,139.99,$138-$139.99,4.1,80,809,0.6166,113251.91,1.6471,65-74in large/multicat,$120+,"large-cat,condo,hammock,wood/modern"
49,Amazon US,B0BZ7L34Q8,"MUTTROS Cat Tree for Large Cats Adult with Metal Plush Big Hammock, 56.3' Cat Tower with 2 Door Condo House, 6-Tier Cat Shelves with Scratching Posts and Large Top Perch, Beige",MUTTROS,CHPET INC,65.99,$64-$65.99,4.5,1703,803,0.612,52989.97,0.7707,50-64in mainstream,$50-79,"large-cat,condo,hammock"
50,Amazon US,B0DN25RNPK,"Cat Tree Tower for Large Cats Cat Scratching Post with 20 x15.7”Wide Top Bed, Self Groomer, Thick Scratch Post [Dia=4.5”] and Danging Ball Great for Indoor Cats-Large Grey",pawfessor,We Love Unity Commerce,39.99,$38-$39.99,4.7,672,801,0.6105,32031.99,0.4659,height not shown,$30-49,large-cat
51,Amazon US,B0CQTC6Y34,"Globlazer Cat Tree Tower with Scratching Post for Indoor Cats, 53inch Tall Plush Multi-Level Cat Climbing Tower Condo House with Large Hammock, Spacious Cat Cave, Padded Top Perch Bed, F53, Light Gray",Globlazer,Globlazer,79.99,$78-$79.99,4.5,467,792,0.6036,63352.08,0.9214,50-64in mainstream,$50-79,"large-cat,multi-level,condo,hammock"
52,Amazon US,B0B938L397,"Feandrea Cat Tree with Litter Box Enclosure, 59-Inch Modern Cat Tower, 2-in-1 Condo with Scratching Posts, Washable Removable Cushion, Greige UPCT113G01",Feandrea,Amazon,75.99,$74-$75.99,4.6,1610,761,0.58,57828.39,0.841,height not shown,$50-79,"condo,modern"
53,Amazon US,B08KFZSBYC,"MWPO 63.8 inches Multi-Level Cat Tree for Large Cats with Sisal-Covered Scratching Posts, Padded Platform, Hammock and Condo,Stable Cat Tower Cat Condo Pet Play House-Beige",MWPO,Mwpo,69.99,$68-$69.99,4.6,5066,758,0.5777,50399.42,0.733,50-64in mainstream,$50-79,"large-cat,multi-level,condo,hammock"
54,Amazon US,B0FFNC5M2D,"SYANDLVY 27IN Cat Tree for Indoor Cats Large Adult, Modern Activity Tower with Scratching Posts, Condo with Plush Perch, Climbing Stand with Spring Ball for Play, Grey",SYANDLVY,SYANDLVY,37.99,$36-$37.99,4.7,384,754,0.5747,28644.46,0.4166,<36in small/kitten,$30-49,"large-cat,condo,modern"
55,Amazon US,B0CV7DHG98,"Globlazer Big Cat Tower for Indoor Cats, 80inch Cat Tower for Multiple Adult Cats XXL Cat Tree with Scratching Post, Hammock, 3 Perches, 2 Condos, 2 Hanging Basket, F80, Dark Grey",Globlazer,Globlazer,119.99,$118-$119.99,4.4,1029,749,0.5708,89872.51,1.3071,75in+ oversized,$80-119,"multi-level,condo,hammock"
56,Amazon US,B0DZD25G1P,"Hey-brother Cat Tree Tower, Scratching Posts with a Extended Part, Wide Platforms, Cozy Condos, Hammocks, Sisal Columns and Ball for Indoor Cats, 70.1 Inches, Light Gray MPJ038W",Hey-brother,Hey brother,99.99,$98-$99.99,4.5,354,728,0.5548,72792.72,1.0587,65-74in large/multicat,$80-119,"condo,hammock"
57,Amazon US,B0F8J7487Z,"Hey-brother Cat Tree Tower, Scratching Posts with Extra Large Platform, Specious Condo, 2 Cozy Hammocks, Self-Grooming Brush for Indoor Adult Cats, Maine Coon 51.1 inches, Light Gray MPJ070W",Hey-brother,Hey brother,79.99,$78-$79.99,4.7,261,698,0.532,55833.02,0.812,50-64in mainstream,$50-79,"large-cat,condo,hammock"
58,Amazon US,B0CG5TML94,"PAWZ Road Cat Tree, 30 Inches Cat Tower with Dual Condos for Indoor Cats, Plush Cat House with Padded Perch, Scratching Ramp and Posts and Replaceable Balls-Beige",PAWZ Road,Sweet  Pet,39.99,$38-$39.99,4.5,5123,680,0.5183,27193.2,0.3955,<36in small/kitten,$30-49,condo
59,Amazon US,B098R2H39J,"SYANDLVY Small Cat Tree for Indoor Cats, Cat Tower with Scratching Post, Modern Activity House for Large Cats, Condo with Board, Kittens Cave (Light Grey)",SYANDLVY,SYANDLVY,30.39,$30-$31.99,4.4,3857,667,0.5083,20270.13,0.2948,height not shown,$30-49,"large-cat,condo,modern,kitten"
60,Amazon US,B0FR44W8GN,"Cat Tree for Indoor Cats, Cat Tower with Scratching Post for Small Cats and Kittens, Cat House with Removable Top Platform and Fluffy Balls, Hanging Cat Basket, Light Gray GCT006SW",Gitelsnour,Gitelsnour Home,39.99,$38-$39.99,4.2,681,655,0.4992,26193.45,0.381,height not shown,$30-49,kitten
61,Amazon US,B0G8Z7KN7H,"32In Cute Cat Tower for Indoor Cats with Cat Condo, Plush Platform, Hammock, Sisal Scratching Posts, Dangling Ball, Tall Cat Tree Tower with Self-Grooming Brush (Beige)",Purrlato,GLORIEROO,39.99,$38-$39.99,4.2,112,647,0.4931,25873.53,0.3763,<36in small/kitten,$30-49,"condo,hammock"
62,Amazon US,B0FJWY6BT5,"Globlazer Extra Large Platform Cat Tree, 65in Tall Sturdy Cat Tree for Indoor Cats Large Adult, Big Cat Tower for Big Cats with 3 Enlarged Perches, 6 Scratching Posts, Cat Condo, Hammock, S65, Beige",Globlazer,Globlazer,99.99,$98-$99.99,4.5,261,635,0.484,63493.65,0.9234,65-74in large/multicat,$80-119,"large-cat,condo,hammock"
63,Amazon US,B078HB646M,"Feandrea Cat Tree, 55.8-Inch Cat Tower, Multi-Level Plush Condo with 11 Scratching Posts, 2 Perches, Hammock, Cave, Light Gray UPCT15W",Feandrea,Amazon,49.99,$48-$49.99,4.6,8819,616,0.4695,30793.84,0.4479,height not shown,$30-49,"multi-level,condo,hammock"
64,Amazon US,B0CRDJSKTK,"Taoqimiao Cactus Cat Tree, 71-Inch Cat Tower for Indoor Cats Large Adult, Multi-Level Large Cat Condo, 8 Sisal Scratching Posts, Metal Frame Cozy Hammock, Scratch Board, 2 Top Perches, MSC026L",Taoqimiao,AICHONGTECH,109.99,$108-$109.99,4.5,1407,593,0.4519,65224.07,0.9486,height not shown,$80-119,"large-cat,multi-level,condo,hammock"
65,Amazon US,B0C9LW8DTH,"Small Cat Tree for Indoor Cats, Cat Tower with Scratching Post and Board, Cat House with Perch for Kitten, Stable Condo and Stand (Light Grey)",SIYIPURR,ZZSY24,31.99,$30-$31.99,4.4,438,593,0.4519,18970.07,0.2759,height not shown,$30-49,"condo,kitten"
66,Amazon US,B09HXCSVQX,SHA CERLIN 68 Inches Multi-Level Large Cat Tree for Large Kitties/Big Cat Tower with Condo/Cozy Plush ‌Pussycat Perches/Sisal Scratching Posts and Hammocks/Activity Center/Beige,SHA CERLIN,Amazon,89.98,$88-$89.99,4.4,2781,590,0.4497,53088.2,0.7721,65-74in large/multicat,$80-119,"large-cat,multi-level,condo,hammock"
67,Amazon US,B0G1LRCB68,"Heybly Cat Tree, 25.6-inch Cat Tower with Spacious Top Perch for Large Cats, Stair-Style Cat House Furniture with Dual-Layer Condos, Sisal Scratching Posts, Cozy Basket & Pompom, Light Gray HCT204SW",Heybly,Heybly,49.99,$48-$49.99,4.3,339,579,0.4413,28944.21,0.421,height not shown,$30-49,"large-cat,condo"
68,Amazon US,B0F52KZMYW,Cat Tree Tower with Clear Instructions for Kittens Indoor Playground Green Palm Leaves Scratching Post Hammock Condo Furniture 37 Inch,Woochpet,Woochpet,39.99,$38-$39.99,4.6,144,575,0.4382,22994.25,0.3344,36-49in mid-small,$30-49,"condo,hammock,kitten"
69,Amazon US,B0FVXTVRBK,"Globlazer Heavy Duty Cat Tree 78 inch Sturdy Cat Tower for 20lbs Large Adult Cats, Symmetrical Aesthetic Big Cat Tree with Extra Large Platform, 2 Scratching Boards, Z78, Beige",Globlazer,Globlazer,116.99,$116-$117.99,4.7,98,552,0.4207,64578.48,0.9392,75in+ oversized,$80-119,"large-cat,heavy-duty"
70,Amazon US,B0D2DD5K6P,"Globlazer Cat Tower for Indoor Cats, Heavy Duty Cat Trees for Large Cats Adult Big Cats Maine Coon Cat Tree Tower with Scratching Post, Extra Large Top Perch, Cat Condos, F61, Light Grey, 61inch",Globlazer,Globlazer,99.99,$98-$99.99,4.6,738,544,0.4146,54394.56,0.7911,50-64in mainstream,$80-119,"large-cat,heavy-duty,condo"
71,Amazon US,B0F9KTZM8T,"PEQULTI Cat Tree for Small to Medium Cats — Cute Gray Cat Tower with Wide Cushioned Perch, Private Condo & Sisal Scratching Post for Indoor Kittens, Aesthetic Cat Furniture",PEQULTI,Siyupet,39.99,$38-$39.99,4.4,257,538,0.41,21514.62,0.3129,height not shown,$30-49,"condo,kitten"
72,Amazon US,B0F2SX413R,"Gitelsnour Maine Coon Cat Tree, Heavy Duty Cat Tree for Indoor Cats Large Adult, Cat Tower for Large Cats 20 lbs+ with Hammock, 2 Big Perches, 2 Cat Condos, 15 Scratching Posts, Smoky Gray GCT033G",Gitelsnour,Gitelsnour Home,109.99,$108-$109.99,4.6,309,535,0.4077,58844.65,0.8558,height not shown,$80-119,"large-cat,heavy-duty,condo,hammock"
73,Amazon US,B0BRCZZGFF,"26.7in Large Cat Tree Tower Condo, Cat Scratch Posts for Indoor Cats, Big Plate, Three 23.6in Full Sisal Scratching Posts, Rustic Brown",FourFurPets,FourFurPets,39.99,$38-$39.99,4.4,1169,515,0.3925,20594.85,0.2995,<36in small/kitten,$30-49,"large-cat,condo"
74,Amazon US,B0CCTTNK7L,"MUTTROS Flower Cat Tree with Large Metal Frame Hammock, 35' Cute Cat Tower with Sisal Scratching Posts for Small Indoor Cats, Cat Condo with Pink Top Perch for Kittens, Pink",MUTTROS,CHPET INC,40.84,$40-$41.99,4.5,931,509,0.3879,20787.56,0.3023,<36in small/kitten,$30-49,"large-cat,condo,hammock,novelty-flower"
75,Amazon US,B0D48X6SZD,"Feandrea Cat Tree, 66.9-Inch Cat Tower with Litter Box Enclosure, Large Condo with Food Station, Storage, Scratching Posts, Cave, Hammock, Washable Cushions, Heather Greige UPCT169K02",Feandrea,Amazon,113.04,$112-$113.99,4.6,757,501,0.3818,56633.04,0.8237,height not shown,$80-119,"large-cat,condo,hammock"
